file,match_type,gt_title,pred_title,pred_author
osu_View_Syllabi_665f29c5.pdf,TP,Mastering Autodesk Revit 2020,Mastering Autodesk Revit 2020,Yori
osu_View_Syllabi_8056d39c.pdf,TP,The craft of research,The craft of research,W. C. Booth
osu_View_Syllabi_8056d39c.pdf,TP,The coding manual for qualitative researchers,The coding manual for qualitative researchers,J. Saldaña
osu_View_Syllabi_82487060.pdf,TP,Fundamentals of Engineering,Fundamentals of Engineering: The Ohio State University,Lieu Sorby
osu_View_Syllabi_87dbc71b.pdf,TP,ServSafe Coursebook,ServSafe Coursebook,
osu_View_Syllabi_942654d5.pdf,TP,ACSM's Exercise Management for Persons with Chronic Diseases and Disabilities,ACSM's Exercise Management for Persons with Chronic Diseases and Disabilities,E. Moore
osu_View_Syllabi_9b5f61ea.pdf,TP,"Biochemistry Laboratory, Modern Theory and Techniques","Biochemistry Laboratory, Modern Theory and Techniques",Rodney Boyer
osu_View_Syllabi_a2c76991.pdf,TP,Heirs of the Greek Catastrophe: The Social Life of Asia Minor Refugees in Piraeus,Heirs of the Greek Catastrophe: The Social Life of Asia Minor refugees in Piraeus,Renee Hirschon
osu_View_Syllabi_a2c76991.pdf,TP,Eurydice Street: A Place in Athens,Eurydice Street: A Place in Athens,Sofka Zinovieff
osu_View_Syllabi_a2c76991.pdf,TP,Inside Hitler's Greece,Inside Hitler's Greece,Mark Mazower
osu_View_Syllabi_a2c76991.pdf,TP,This Child Died Tomorrow,This Child Died Tomorrow,Matsas
osu_View_Syllabi_a2c76991.pdf,TP,A Short Border Handbook,A Short Border Handbook,Kapllani
osu_View_Syllabi_a2c76991.pdf,FN,The Anaphiotika and constitution square,,
osu_View_Syllabi_a465720f.pdf,TP,Publication Manual of the American Psychological Association,Publication Manual of the American Psychological Association,American Psychological Association
osu_View_Syllabi_a465720f.pdf,TP,Teaching in nursing: a guide for faculty,Teaching in nursing: a guide for faculty,D. Billings
osu_View_Syllabi_ae009874.pdf,TP,Forest Ecology,Forest Ecology,Burton V. Barnes
osu_View_Syllabi_ae009874.pdf,TP,A Field Guide to Trees and Shrubs,A Field Guide to Trees and Shrubs,George A. Petrides
osu_View_Syllabi_ae009874.pdf,TP,The Woody Plants of Ohio,The Woody Plants of Ohio,E. Lucy Braun
osu_View_Syllabi_ae009874.pdf,TP,Bark: A Field Guide to Trees of the Northeast,Bark: A Field Guide to Trees of the Northeast,Michael Wojtech
osu_View_Syllabi_ae009874.pdf,TP,Fruit Key & Twig Key to Trees & Shrubs,Fruit Key & Twig Key to Trees & Shrubs,William M Harlow
osu_View_Syllabi_d5d596f1.pdf,TP,"A history of Western Society, Volume I: From Antiquity to the Enlightenment","A history of Western society, Volume I: From Antiquity to the Enlightenment",Merry E. Wiesner-Hanks
osu_View_Syllabi_d5d596f1.pdf,TP,"Discovering the Western Past, Volume I: to 1789","Discovering the Western Past, Volume I: to 1789",Merry E. Wiesner-Hanks
osu_View_Syllabi_dafee0ae.pdf,TP,The Virtual Life of Film,The Virtual Life of Film,D.N. Rodowick
osu_View_Syllabi_dafee0ae.pdf,TP,The Tactile Eye,The Tactile Eye,Barker
osu_View_Syllabi_dafee0ae.pdf,TP,The Devil Finds Work,The Devil Finds Work,James Baldwin
osu_View_Syllabi_e85822f2.pdf,TP,Fertility and Pregnancy: An Epidemiologic Perspective,Fertility and Pregnancy: An Epidemiologic Perspective,Allen J. Wilcox
osu_View_Syllabi_eb20fb88.pdf,TP,Success in Academic Surgery,Success in Academic Surgery,Herbert Chen
osu_View_Syllabi_f373640d.pdf,TP,Twentieth-Century American Fashion,Twentieth-Century American Fashion,Linda Welters
osu_View_Syllabi_f373640d.pdf,TP,Fashion Since 1900,Fashion Since 1900,Valerie Mendes
osu_View_Syllabi_fd033ad5.pdf,TP,Fluid Power Systems,Fluid Power Systems,P.J. Klette
osu_View_Syllabi_fd033ad5.pdf,TP,The Mobile Hydraulics Handbook,The Mobile Hydraulics Handbook,B. Casey
osu_View_Syllabi_fd033ad5.pdf,TP,Fluid Power with Applications,Fluid Power with Applications,A. Esposito
osu_View_Syllabi_fdece893.pdf,TP,Product Design & Development,Product Design & Development,Ulrich Eppinger
osu_View_Syllabi_fdece893.pdf,TP,"Universal Methods of Design: 100 ways to research complex problems, develop innovative ideas, and design effective solutions","Universal Methods of Design: 100 ways to research complex problems, develop innovative ideas, and design effective solutions",Martin Hanington
osu_View_Syllabi_fdece893.pdf,TP,Creative Conﬁdence,Creative Confidence,Kelley Kelley
osu_View_Syllabi_fdece893.pdf,TP,Manufacturing Processes for Design Professionals,Manufacturing Processes for Design Professionals,Rob Thompson
osu_View_Syllabi_fdece893.pdf,TP,The Field Guide to Human Centered Design,The Field Guide to Human Centered Design,IDEO
osu_View_Syllabi_fdece893.pdf,TP,"Universal Principles of Design: 100 ways to enhance usability, inﬂ uence perception, increase appeal, make better design decisions, and teach through design","Universal Principles of Design: 100 ways to enhance usability, influence perception, increase appeal, make better design decisions, and teach through design",Lidwell
osu_View_Syllabi_fdece893.pdf,TP,101 Design Methods,101 Design Methods,Vijay Kumar
osu_View_Syllabi_fdece893.pdf,TP,Prototyping and Modelmaking for Product Design,Prototyping and Modelmaking for Product Design,Bjarki Hallgrimsson
osu_View_Syllabi_fdece893.pdf,TP,100 Things Every Designer Needs to Know About People,100 Things Every Designer Needs to Know About People,Susan Weinschenk
osu_View_Syllabi_fdece893.pdf,TP,Change by Design,Change by Design,Tim Brown
osu_View_Syllabi_fdece893.pdf,TP,Made to Stick,Made to Stick,Chip Heath
osu_View_Syllabi_fdece893.pdf,TP,Rapid Viz: a new method for the rapid visualization of Ideas,Rapid Viz: a new method for the rapid visualization of Ideas,Hanks Belliston
osu_View_Syllabi_fdece893.pdf,TP,Innovating for People: Human-Centered Design Planning,Innovating for People: Human-Centered Design Planning,LUMA Institute
osu_View_Syllabi_fdece893.pdf,TP,Industrial Design Reference & Specification Book,Industrial Design Reference & Specification Book,Dan Cuffary
osu_View_Syllabi_fe4f9907.pdf,TP,Intermediate Accounting,Intermediate Accounting,Spiceland
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,TP,The Complete Maus,The Complete Maus,Art Spiegelman
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,TP,The Elements of Style,The Elements of Style,Strunk
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,TP,Zionism: An Emotional State,Zionism: An Emotional State,Derek Penslar
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,TP,Moral Grandeur and Spiritual Audacity,Moral Grandeur and Spiritual Audacity,Susannah Heschel
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,TP,Wrestling with God,Wrestling with God,Emil Fackenheim
ufl_2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,FP,,Gentlemen's Agreement,Laura Z. Hobson
ufl_Arguing-Jewish-Law_ff93087f.pdf,TP,The Rhetoric,The Rhetoric,Aristotle
ufl_Bhattacharya_sta_7467_syllabus_933ad163.pdf,TP,Probability and Measure,Probability and Measure,Billingsley
ufl_CWR3201-Syllabus-Fall-2025_1a7780ea.pdf,TP,"Young, Munson and Okiishi’s A Brief Introduction to Fluid Mechanics",A Brief Introduction to Fluid Mechanics,Hochstein Gerhart
ufl_Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,TP,Making and Doing Deals: Contracts in Context,Making and Doing Deals: Contracts in Context,David Epstein
ufl_Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,FN,Restatement Second of Contracts,,
ufl_Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,FN,Uniform Commercial Code,,
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,An introduction to generalized linear models,An introduction to generalized linear models,Annette Dobson
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Analysis of longitudinal data,Analysis of longitudinal data,Peter Diggle
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Multivariate statistical modelling based on generalized linear models,Multivariate statistical modelling based on generalized linear models,Ludwig Fahrmeir
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,"Extending the linear model with R: generalized linear, mixed eﬀ ects and nonparametric regression models","Extending the linear model with R: generalized linear, mixed effects and nonparametric regression models",Julian Faraway
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Generalized estimating equations,Generalized estimating equations,James Hardin
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Generalized Additive Models,Generalized Additive Models,Trevor Hastie
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Generalized Linear Models,Generalized Linear Models,Peter McCullagh
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,"Generalized, linear, and mixed models","Generalized, linear, and mixed models",Charles McCulloch
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,TP,Generalized additive models: An introduction with R,Generalized additive models: An introduction with R,Simon Wood
ufl_ECO3713_Rojas_Spr22_0089f8e1.pdf,TP,International Macroeconomics,International Macroeconomics,Robert Feenstra
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Alice’s Adventures in Wonderland & Through the Looking-Glass,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Persepolis,Persepolis,Marjane Satrapi
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,The Art of Adaptation: Turning Fact and Fiction into Film,The Art of Adaptation: Turning Fact and Fiction into Film,Linda Seger
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Hamlet,Hamlet,William Shakespeare
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Raise the Red Lantern,Raise the Red Lantern: Three Novellas,Tong Su
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,The Routledge Companion to Adaptation,The Routledge Companion to Adaptation,Dennis Cutchins
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Film Directing Shot by Shot: Visualizing From Concept to Screen,Film Directing Shot by Shot: Visualizing From Concept to Screen,Steven Katz
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,The Oxford Handbook of Adaptation Studies,The Oxford Handbook of Adaptation Studies,Thomas Leitch
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,True to the Spirit: Film Adaptation and the Question of Fidelity,True to the Spirit: Film Adaptation and the Question of Fidelity,Colin MacCabe
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Next Generation Adaptation: Spectatorship and Process,Next Generation Adaptation: Spectatorship and Process,Allen Redmon
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Persepolis 2: The Story of a Return,Persepolis 2: The Story of a Return,Marjane Satrapi
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,TP,Theory of Film,Theory of Film,Siegfried Kracauer
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,FP,,"Image, Music, Text",Roland Barthes
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,FP,,Alien,Alan Foster
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,FP,,A Theory of Adaptation,Linda Hutcheon
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,TP,The Principles of Scientific Management,The Principles of Scientific Management,Taylor
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,TP,The Genius of the System,The Genius of the System,Schatz
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,TP,Hitler: The Führer and the People,Hitler: The Führer and the People,Stern
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,TP,The Making of Casablance,The Making of Casablanca,Harmetz
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,TP,Cahiers du Cinéma: The 1950s,Cahiers du Cinéma: The 1950s,Hillier
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,"Henry Ford: Mass Production, Modernism and Design",,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Brecht on Theatre,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Jean Renoir,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Renoir on Renoir,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,A Passion for Films: Henri Langlois and the Cinémathèque,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Theory of Film Practice,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,The Heart of Europe,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,A History of Narrative Film,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Existentialism is a Humanism,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Springtime in Italy: A Reader on Neo-Realism,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,Bicycle Thief,,
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,FN,The Early Film Criticism of François Truffaut,,
ufl_GEY4001_2G10_Spring2026_d90d157e.pdf,TP,"Introduction to Aging: A Positive, Interdisciplinary Approach","Introduction to Aging: A Positive, Interdisciplinary Approach",Sugar
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,TP,How I Got That Story,How I Got That Story,Mike Foley
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,TP,AP Stylebook,AP Stylebook,
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,TP,Inside Reporting,Inside Reporting,Tim Harrower
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,TP,When Words Collide,When Words Collide,Lauren Kessler
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,TP,Webster's New World College Dictionary,Webster's New World College Dictionary,
ufl_JPW4130_F24_39da2d7b.pdf,TP,Yume jūya,Yume jūya,Natsume Sōseki
ufl_JPW4130_F24_39da2d7b.pdf,TP,Konbini Ningen,Konbini Ningen,Murata Sayaka
ufl_JPW4130_F24_39da2d7b.pdf,TP,The Great Gatsby,The Great Gatsby,Scott Fitzgerald
ufl_JPW4130_F24_39da2d7b.pdf,TP,What We Talk About When We Talk About Love,What We Talk About When We Talk About Love,Raymond Carver
ufl_JPW4130_F24_39da2d7b.pdf,TP,Install,Install,Wataya Risa
ufl_JPW4130_F24_39da2d7b.pdf,TP,Monogatari shōhiron,Monogatari shōhiron,Ōtsuka Eiji
ufl_JPW4130_F24_39da2d7b.pdf,FN,Tongari yaki no seisui,,
ufl_JPW4130_F24_39da2d7b.pdf,FN,Growing Down,,
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,The Bell Jar,The Bell Jar,Sylvia Plath
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Tender Buttons,Tender Buttons,Gertrude Stein
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Mrs. Dalloway,Mrs. Dalloway,Virginia Woolf
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Best Poems,Best Poems,Stevie Smith
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Maud Martha,Maud Martha,Gwendolyn Brooks
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Ariel,Ariel,Sylvia Plath
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,The Bloody Chamber,The Bloody Chamber,Angela Carter
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Fun Home,Fun Home,Alison Bechdel
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Thomas and Beulah,Thomas and Beulah,Rita Dove
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,The Penelopiad,The Penelopiad,Margaret Atwood
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,TP,Marvelous Things Overheard,Marvelous Things Overheard,Ange Mlinko
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,FP,,Selected Poems,Rita Dove
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,FP,,New Selected Poems,Stevie Smith
ufl_LIN4930-13936-Lang-Social-Interaction-Sp23-Butler_f999f25f.pdf,TP,Everyday Talk: Building and Reflecting Identities,Everyday Talk: Building and Reflecting Identities,K. Tracy
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,TP,Optimality Theory,Optimality Theory,René Kager
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,FP,,The Cambridge Handbook of Phonology,Paul de Lacy
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,FP,,Handbook of Phonological Theory,J. Goldsmith
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,FP,,Optimality Theory in Phonology: A Reader,J. McCarthy
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,FP,,Constraints in Phonological Acquisition,Rene Kager
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,FP,,Phonology and Second Language Acquisition,Jette Hansen Edwards
ufl_Lindberg_sta4210syllabus_fall2025_d8333e56.pdf,TP,Applied Linear Statistical Models,Applied Linear Statistical Models,M. Kutner
ufl_Lindberg_sta4210syllabus_fall2025_d8333e56.pdf,TP,A Second Course in Statistics: Regression Analysis,A Second Course in Statistics: Regression Analysis,W. Mendenhall
ufl_OConnor_STA3024_Summer_B_2024_Syllabus_8e14db9c.pdf,TP,Statistics: the Art and Science of Learning from Data,Statistics: the Art and Science of Learning from Data,Alan Agresti
ufl_PCO4113_S0981_Spring2026_a139e836.pdf,TP,Positive Psychology: The Scientific and Practical Explorations of Human Strengths,Positive Psychology: The Scientific and Practical Explorations of Human Strengths,Shane Lopez
ufl_REL3938-History-of-Judaism_df85a143.pdf,TP,Sabbatai Sevi The Mystical Messiah,Sabbatai Sevi The Mystical Messiah,Gershom Scholem
ufl_REL3938-History-of-Judaism_df85a143.pdf,TP,"Jewish People, Jewish Thought","Jewish People, Jewish Thought",Robert Seltzer
ufl_RUT3101_F24_a45dd55f.pdf,TP,Eugene Onegin,Eugene Onegin,Alexander Pushkin
ufl_RUT3101_F24_a45dd55f.pdf,TP,Anna Karenina,Anna Karenina,Leo Tolstoy
ufl_RUT3101_F24_a45dd55f.pdf,TP,THE ESSENTIAL PLAYS,THE ESSENTIAL PLAYS,Anton Chekhov
ufl_RUT3101_F24_a45dd55f.pdf,TP,Crime and Punishment,Crime and Punishment,Fyodor Dostoevsky
ufl_RUT3101_F24_a45dd55f.pdf,FP,,Hamlet,William Shakespeare
ufl_RUT3101_F24_a45dd55f.pdf,FP,,Afloat,Guy Maupassant
ufl_RUT3101_F24_a45dd55f.pdf,FP,,Child Harold's Pilgrimage,Lord Byron
ufl_RUT3101_F24_a45dd55f.pdf,FP,,Clarissa,Samuel Richardson
ufl_Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf,TP,Russian Grammar in Context,В Пути!: Russian Grammar in Context,"Kagan, Miller & Kudyma"
ufl_Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf,TP,A Reference Grammar for B πyth,A Reference Grammar for В Пути,David Gasperetti
ufl_Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf,FP,,Student Activities Manual for В Пути!: Russian Grammar in Context,"Kagan, Miller & Kudyma"
ufl_Su_STA-6934_Fall-2021_Updated_222e1c3a.pdf,TP,Numerical Optimization,Numerical Optimization,J. Nocedal
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,TP,Dark Green Religion: Nature Spirituality and the Planetary Future,Dark Green Religion: Nature Spirituality and the Planetary Future,Bron Taylor
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,TP,The Story of B,The Story of B,Daniel Quinn
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,TP,The Celestine Prophecy,The Celestine Prophecy,Michael Redfield
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,TP,Ecotopia,Ecotopia,Ernest Callenbach
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Green Screen: Environmentalism and Hollywood Cinema,David Ingram
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,"Ecologies of the Moving Image: Cinema, Affect, Nature",Adrian Ivakhiv
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,"Film as Religion: Myths, Morals, and Rituals",John C. Lyden
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,"Mutants and Mystics: Science Fiction, Superhero Comics, and the Paranormal",Jeffrey Kripal
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Theatre in a crowded fire: ritual and spirituality at Burning Man,Lee Gilmore
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Reel Spirituality: Theology and Film in Dialogue,Robert K. Johnston
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,New Image of Religious Film,John May
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Encyclopedia of Religion and Film,Eric Mazur
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Seeing and believing: religion and values in the movies,Margaret Miles
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,"Screening the Sacred: Religion, Myth, and Ideology in Popular American Film",Joel Martin
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,The Religion and Film Reader,Jolyon Mitchell
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Religion and Film: Cinema and the Re-Creation of the World,S. Brent Plate
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,"Global Tribe: Technology, Spirituality and Psytrance",Graham St. John
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Film as Social Practice,Graeme Turner
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Teaching Religion and Film,Gregory J. Watkins
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,The Year of the Flood: A Novel,Margaret Atwood
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,FP,,Origin,Dan Brown
