file,gt_count,pred_count,tp,fp,fn,precision,recall,f1,unmatched_gt,unmatched_pred
ufl_Daniels_STA7249-spring-i2020_c15107cd.pdf,9,9,9,0,0,1.0,1.0,1.0,,
ufl_ECO3713_Rojas_Spr22_0089f8e1.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,12,15,12,3,0,0.8,1.0,0.8889,,"Image, Music, Text; Alien; A Theory of Adaptation"
ufl_ENG3122-S206-30349-Ray_15c2759e.pdf,17,5,5,0,12,1.0,0.2941,0.4545,"Henry Ford: Mass Production, Modernism and Design; Brecht on Theatre; Jean Renoir; Renoir on Renoir; A Passion for Films: Henri Langlois and the Cinémathèque; Theory of Film Practice; The Heart of Europe; A History of Narrative Film; Existentialism is a Humanism; Springtime in Italy: A Reader on Neo-Realism; Bicycle Thief; The Early Film Criticism of François Truffaut",
ufl_GEY4001_2G10_Spring2026_d90d157e.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,5,5,5,0,0,1.0,1.0,1.0,,
ufl_JPW4130_F24_39da2d7b.pdf,8,6,6,0,2,1.0,0.75,0.8571,Tongari yaki no seisui; Growing Down,
ufl_LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,11,13,11,2,0,0.8462,1.0,0.9167,,Selected Poems; New Selected Poems
ufl_LIN4930-13936-Lang-Social-Interaction-Sp23-Butler_f999f25f.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,1,6,1,5,0,0.1667,1.0,0.2857,,The Cambridge Handbook of Phonology; Handbook of Phonological Theory; Optimality Theory in Phonology: A Reader; Constraints in Phonological Acquisition; Phonology and Second Language Acquisition
ufl_Lindberg_sta4210syllabus_fall2025_d8333e56.pdf,2,2,2,0,0,1.0,1.0,1.0,,
ufl_OConnor_STA3024_Summer_B_2024_Syllabus_8e14db9c.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_PCO4113_S0981_Spring2026_a139e836.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_REL3938-History-of-Judaism_df85a143.pdf,2,2,2,0,0,1.0,1.0,1.0,,
ufl_RUT3101_F24_a45dd55f.pdf,4,8,4,4,0,0.5,1.0,0.6667,,Hamlet; Afloat; Child Harold's Pilgrimage; Clarissa
ufl_Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf,2,3,2,1,0,0.6667,1.0,0.8,,Student Activities Manual for В Пути!: Russian Grammar in Context
ufl_Su_STA-6934_Fall-2021_Updated_222e1c3a.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,4,28,4,24,0,0.1429,1.0,0.25,,"Green Screen: Environmentalism and Hollywood Cinema; Ecologies of the Moving Image: Cinema, Affect, Nature; Film as Religion: Myths, Morals, and Rituals; Mutants and Mystics: Science Fiction, Superhero Comics, and the Paranormal; Theatre in a crowded fire: ritual and spirituality at Burning Man; Reel Spirituality: Theology and Film in Dialogue; New Image of Religious Film; Encyclopedia of Religion and Film; Seeing and believing: religion and values in the movies; Screening the Sacred: Religion, Myth, and Ideology in Popular American Film; The Religion and Film Reader; Religion and Film: Cinema and the Re-Creation of the World; Global Tribe: Technology, Spirituality and Psytrance; Film as Social Practice; Teaching Religion and Film; The Year of the Flood: A Novel; Origin; Stranger in a Strange Land; Flight Behavior; Golf in the Kingdom; The Fifth Sacred Thing; The Overstory; Ministry of the Future; The Color Purple: A Novel"
ufl_VTN1130_F24_bb1290b2.pdf,1,2,1,1,0,0.5,1.0,0.6667,,Workbook Manual to accompany Let's speak Vietnamese
ufl_cgn-4905_fall2025_4572f226.pdf,2,2,2,0,0,1.0,1.0,1.0,,
ufl_eoc6934_spring2025_215e781c.pdf,1,1,1,0,0,1.0,1.0,1.0,,
ufl_spring2024-REL2121-Syllabus-4_d6347e83.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_10514346_b7347974.pdf,1,2,1,1,0,0.5,1.0,0.6667,,Путеводитель по дебатам: Учебное пособие для педагогов и учащихся
utaustin_11074579_d6f48cfe.pdf,1,1,0,1,1,0.0,0.0,0,Help,"Razgovarajte s nama!: A2 - B1 : vježbenica, gramatika i fonetika hrvatskog jezika za više početnike"
utaustin_11091559_4a7769b2.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_11305260_803f9e44.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_12635922_2d29bef2.pdf,5,5,4,1,1,0.8,0.8,0.8,Virgil,Virgil: Georgics
utaustin_12947636_aa8812f0.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_12953992_f184257a.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_12962294_dfffe6ce.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_14063541_424c06c7.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_1452161_5d27a409.pdf,1,2,1,1,0,0.5,1.0,0.6667,,Cases in Marketing Management
utaustin_14606760_edb82012.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_14712486_c31a1459.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_16293137_50d14ce8.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_16293406_58d0b069.pdf,2,3,2,1,0,0.6667,1.0,0.8,,Readings on The Principles and Applications of Decision Analysis
utaustin_2202340_ae43c208.pdf,5,6,5,1,0,0.8333,1.0,0.9091,,Teaching and behavior support for children and adults with Autism Spectrum Disorder
utaustin_2874360_e02b0d4b.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_3419835_42c32f1a.pdf,2,2,2,0,0,1.0,1.0,1.0,,
utaustin_3445820_bd62b646.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_4510020_f4cabcdb.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_5065654_23ac37b9.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_5568203_d8ac5267.pdf,3,4,3,1,0,0.75,1.0,0.8571,,Clark-Hall Concise Dictionary of Anglo-Saxon
utaustin_6656290_0b8d9f8d.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_7241375_e3afbb50.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_7731222_7707e987.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_7800510_96e39fae.pdf,1,1,1,0,0,1.0,1.0,1.0,,
utaustin_8298342_7b3c680c.pdf,8,13,8,5,0,0.6154,1.0,0.7619,,"In the Black: A History of African Americans on Wall Street; Confronting the Odds: African American Entrepreneurship in Cleveland, Ohio; 32 Ways to Be a Champion in Business; Forty Million Dollar Slaves: Rise, Fall, Redemption of the Black Athlete; Encyclopedia of African American Business History"
utaustin_8335871_514a3a24.pdf,1,1,1,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_0aca0bce.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_36f19121.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_491c0e19.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_66d790ab.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_9c02deb9.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_d8247951.pdf,0,0,0,0,0,1.0,1.0,1.0,,
osu_View_Syllabi_eb1e5e2e.pdf,0,0,0,0,0,1.0,1.0,1.0,,
ufl_KarmakarBikram_syllabusSTA7934-_fall2023-1_26fce759.pdf,0,0,0,0,0,1.0,1.0,1.0,,
ufl_LIN4721-163A-Spring-2016-Im.docx_3a340388.pdf,0,2,0,2,0,0.0,1.0,0.0,,
ufl_LIN4930-06AB-Fa16-Essegbey.docx_b9f7f87e.pdf,0,15,0,15,0,0.0,1.0,0.0,,
ufl_LIN4930-3C59-LIN6932-26EB-Native-Lang-of-the-South-Fa19-Broadwell_206f390f.pdf,0,0,0,0,0,1.0,1.0,1.0,,
ufl_NGR-6941-PedsPrimary-sec-709B-Rohan.docx_a845384e.pdf,0,0,0,0,0,1.0,1.0,1.0,,
ufl_Syllabus_New-Testament.docx_ca74e1c7.pdf,0,2,0,2,0,0.0,1.0,0.0,,
utaustin_1049788_c710862c.pdf,0,0,0,0,0,1.0,1.0,1.0,,
utaustin_11814705_266fbf92.pdf,0,0,0,0,0,1.0,1.0,1.0,,
utaustin_12950591_f7b7d877.pdf,0,0,0,0,0,1.0,1.0,1.0,,
utaustin_14658959_2ccca317.pdf,0,0,0,0,0,1.0,1.0,1.0,,
utaustin_5087640_9753dcf2.pdf,0,0,0,0,0,1.0,1.0,1.0,,
